Question,Response Time (Minutes),Performance,Content Domain,Question Type,Fundamental Skills,Q_b,,,,,,,,,,,,,,,,,,,,,
1,2.3,Correct,Algebra,REAL,Equal/Unequal/ALG,0.86,,,,,,,,,,,,,,,,,,,,,
2,4.8,Correct,Algebra,REAL,Rates/Ratio/Percent,2,,,,,,,,,,,,,,,,,,,,,
3,1.3,Correct,Arithmetic,REAL,Equal/Unequal/ALG,1.97,,,,,,,,,,,,,,,,,,,,,
4,2.2,Incorrect,Arithmetic,REAL,Value/Order/Factors,1.98,,,,,,,,,,,,,,,,,,,,,
5,0.8,Correct,Arithmetic,REAL,Rates/Ratio/Percent,1.96,,,,,,,,,,,,,,,,,,,,,
6,3.5,Correct,Algebra,REAL,Rates/Ratio/Percent,1.94,,,,,,,,,,,,,,,,,,,,,
7,1.5,Correct,Algebra,REAL,Equal/Unequal/ALG,1.89,,,,,,,,,,,,,,,,,,,,,
8,1.5,Correct,Arithmetic,REAL,Rates/Ratio/Percent,1.83,,,,,,,,,,,,,,,,,,,,,
9,1.3,Correct,Arithmetic,REAL,Counting/Sets/Series/Prob/Stats,1.93,,,,,,,,,,,,,,,,,,,,,
10,5.4,Correct,Arithmetic,REAL,Counting/Sets/Series/Prob/Stats,1.97,,,,,,,,,,,,,,,,,,,,,
11,2.6,Incorrect,Algebra,PURE,Equal/Unequal/ALG,1.91,,,,,,,,,,,,,,,,,,,,,
12,4.3,Correct,Arithmetic,PURE,Rates/Ratio/Percent,1.73,,,,,,,,,,,,,,,,,,,,,
13,1.6,Incorrect,Arithmetic,PURE,Counting/Sets/Series/Prob/Stats,1.76,,,,,,,,,,,,,,,,,,,,,
14,0.9,Correct,Arithmetic,REAL,Counting/Sets/Series/Prob/Stats,1.81,,,,,,,,,,,,,,,,,,,,,
15,0.7,Correct,Algebra,PURE,Value/Order/Factors,1.74,,,,,,,,,,,,,,,,,,,,,
16,4.6,Correct,Algebra,PURE,Value/Order/Factors,1.9,,,,,,,,,,,,,,,,,,,,,
17,2.1,Correct,Algebra,PURE,Counting/Sets/Series/Prob/Stats,1.69,,,,,,,,,,,,,,,,,,,,,
18,0.7,Correct,Arithmetic,PURE,Equal/Unequal/ALG,1.7,,,,,,,,,,,,,,,,,,,,,
19,0.7,Correct,Arithmetic,PURE,Rates/Ratio/Percent,1.83,,,,,,,,,,,,,,,,,,,,,
20,0.8,Incorrect,Arithmetic,PURE,Value/Order/Factors,1.94,,,,,,,,,,,,,,,,,,,,,
21,0.9,Correct,Arithmetic,PURE,Value/Order/Factors,1.58,,,,,,,,,,,,,,,,,,,,,
