Question,Response Time (Minutes),Performance,Content Domain,Question Type,Fundamental Skills,V_b,marker,,,,,,,,,,,,,,,,,,,
1,1.5,Correct,N/A,Critical Reasoning,Plan/Construct,1.23,,,,,,,,,,,,,,,,,,,,
2,3.6,Correct,N/A,Critical Reasoning,Plan/Construct,1.98,,,,,,,,,,,,,,,,,,,,
3,3,Correct,N/A,Reading Comprehension,Identify Stated Idea,1.85,,,,,,,,,,,,,,,,,,,,
4,1,Incorrect,N/A,Reading Comprehension,Identify Inferred Idea,1.98,,,,,,,,,,,,,,,,,,,,
5,3.7,Incorrect,N/A,Reading Comprehension,Identify Inferred Idea,1.86,,,,,,,,,,,,,,,,,,,,
6,1.7,Incorrect,N/A,Critical Reasoning,Analysis/Critique,1.64,,,,,,,,,,,,,,,,,,,,
7,2.7,Correct,N/A,Reading Comprehension,Identify Inferred Idea,1.72,,,,,,,,,,,,,,,,,,,,
8,1,Correct,N/A,Reading Comprehension,Identify Stated Idea,1.8,,,,,,,,,,,,,,,,,,,,
9,1.6,Correct,N/A,Reading Comprehension,Identify Inferred Idea,1.64,,,,,,,,,,,,,,,,,,,,
10,2.2,Correct,N/A,Critical Reasoning,Plan/Construct,1.84,,,,,,,,,,,,,,,,,,,,
11,4.4,Correct,N/A,Reading Comprehension,Identify Inferred Idea,1.88,,,,,,,,,,,,,,,,,,,,
12,0.6,Correct,N/A,Reading Comprehension,Identify Stated Idea,1.88,,,,,,,,,,,,,,,,,,,,
13,2.3,Correct,N/A,Reading Comprehension,Identify Inferred Idea,1.74,,,,,,,,,,,,,,,,,,,,
14,0.6,Correct,N/A,Reading Comprehension,Identify Stated Idea,1.94,,,,,,,,,,,,,,,,,,,,
15,2.4,Incorrect,N/A,Critical Reasoning,Analysis/Critique,1.76,,,,,,,,,,,,,,,,,,,,
16,2.3,Incorrect,N/A,Critical Reasoning,Analysis/Critique,1.75,,,,,,,,,,,,,,,,,,,,
17,2.8,Incorrect,N/A,Critical Reasoning,Plan/Construct,1.7,,,,,,,,,,,,,,,,,,,,
18,1.3,Correct,N/A,Critical Reasoning,Analysis/Critique,1.49,,,,,,,,,,,,,,,,,,,,
19,0.7,Correct,N/A,Critical Reasoning,Analysis/Critique,1.82,,,,,,,,,,,,,,,,,,,,
20,1.9,Incorrect,N/A,Critical Reasoning,Analysis/Critique,1.66,,,,,,,,,,,,,,,,,,,,
21,1.4,Incorrect,N/A,Critical Reasoning,Analysis/Critique,1.47,,,,,,,,,,,,,,,,,,,,
22,1,Correct,N/A,Critical Reasoning,Plan/Construct,1.41,,,,,,,,,,,,,,,,,,,,
23,1.2,Incorrect,N/A,Critical Reasoning,Plan/Construct,1.18,,,,,,,,,,,,,,,,,,,,
