student_id,test_instance_id,gmat_section,test_date,question_id,question_position,question_time_minutes,is_correct,question_difficulty,question_type,question_fundamental_skill,content_domain,total_section_time_minutes,max_allowed_section_time_minutes,total_questions_in_section,record_timestamp
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_1_20250501,1,2.88,1,1.3,DS,Geometry,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_2_20250501,2,2.98,0,1.5,PS,Word Problems,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_3_20250501,3,3.08,1,1.8,DS,Algebra,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_4_20250501,4,3.18,1,2.1,PS,Arithmetic,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_5_20250501,5,3.28,0,2.3,DS,Geometry,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_6_20250501,6,3.38,1,2.6,PS,Word Problems,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_7_20250501,7,3.48,1,2.9,DS,Algebra,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_8_20250501,8,3.58,0,3.1,PS,Arithmetic,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_9_20250501,9,3.68,1,3.4,DS,Geometry,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_10_20250501,10,3.78,1,3.7,PS,Word Problems,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_11_20250501,11,3.88,0,3.9,DS,Algebra,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_12_20250501,12,3.98,0,4.2,PS,Arithmetic,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_13_20250501,13,4.08,0,4.5,DS,Geometry,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_14_20250501,14,4.18,0,4.7,PS,Word Problems,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_Q_20250501_test1,Q,2025-05-01,Q_15_20250501,15,4.28,0,5.0,DS,Algebra,,45.0,45.0,15,2025-05-08T13:24:24.566319
student_001,student_001_DI_20250501_test1,DI,2025-05-01,DI_1_20250501,1,3.63,1,1.3,Inference,,Science,45.0,45.0,12,2025-05-08T13:24:24.569033
student_001,student_001_DI_20250501_test1,DI,2025-05-01,DI_2_20250501,2,3.78,0,1.7,Calculation,,Social Science,45.0,45.0,12,2025-05-08T13:24:24.569033
student_001,student_001_DI_20250501_test1,DI,2025-05-01,DI_3_20250501,3,3.94,1,2.0,Real,,Math Related,45.0,45.0,12,2025-05-08T13:24:24.569033
student_001,student_001_DI_20250501_test1,DI,2025-05-01,DI_4_20250501,4,4.1,1,2.3,Inference,,Business,45.0,45.0,12,2025-05-08T13:24:24.569033
student_001,student_001_DI_20250501_test1,DI,2025-05-01,DI_5_20250501,5,4.26,0,2.7,Calculation,,Science,45.0,45.0,12,2025-05-08T13:24:24.569033
student_001,student_001_DI_20250501_test1,DI,2025-05-01,DI_6_20250501,6,4.41,1,3.0,Real,,Social Science,45.0,45.0,12,2025-05-08T13:24:24.569033
student_001,student_001_DI_20250501_test1,DI,2025-05-01,DI_7_20250501,7,4.57,1,3.3,Inference,,Math Related,45.0,45.0,12,2025-05-08T13:24:24.569033
